,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling
44506,44507,Male,23,Returning,Personal,Economy,503,29,18.0,5,2,4,2,1,3,1,3,1,1,4,2,1,5
127808,127809,Male,49,Returning,Business,Business,1044,0,0.0,1,1,5,5,1,3,5,3,4,3,3,1,3,3
99285,99286,Female,28,Returning,Personal,Economy,833,0,0.0,5,2,3,2,3,3,4,4,4,4,5,2,4,4
4920,4921,Female,57,Returning,Personal,Economy,1020,0,0.0,1,4,2,3,3,5,4,4,2,3,5,4,5,5
29265,29266,Male,29,Returning,Business,Business,3931,0,1.0,2,2,1,2,2,3,2,5,2,2,4,2,2,3
32648,32649,Female,38,First-time,Business,Economy,102,0,0.0,0,3,3,3,1,4,3,1,3,3,3,3,3,2
43885,43886,Female,63,Returning,Business,Business,199,37,20.0,2,2,2,3,2,1,4,1,3,4,1,1,1,1
81906,81907,Female,48,Returning,Personal,Economy,680,0,0.0,5,1,5,5,5,2,4,1,3,4,2,1,2,2
17751,17752,Male,70,Returning,Personal,Economy,383,40,26.0,1,1,4,1,4,1,4,2,4,4,3,1,4,4
5040,5041,Female,22,Returning,Business,Business,2857,46,51.0,1,1,1,4,1,1,4,2,4,4,3,4,4,3
35423,35424,Female,61,Returning,Personal,Economy,1041,0,0.0,4,0,5,4,3,4,4,0,3,4,4,0,4,4
66796,66797,Female,27,Returning,Business,Business,3711,0,4.0,4,4,4,4,4,4,4,4,4,4,3,4,5,4
890,891,Female,51,Returning,Business,Business,134,0,0.0,1,1,5,4,1,4,5,4,3,3,4,1,4,5
47810,47811,Male,25,First-time,Business,Economy,817,0,0.0,3,3,1,3,4,4,4,2,4,4,4,3,4,4
67100,67101,Male,50,Returning,Business,Business,3650,0,0.0,1,5,5,4,1,5,4,4,5,4,5,1,5,5
113350,113351,Female,49,Returning,Business,Business,226,0,0.0,0,0,4,5,5,4,4,4,5,2,4,0,4,4
126526,126527,Female,9,First-time,Business,Business,644,1,10.0,3,3,2,3,3,3,1,3,1,1,2,3,1,3
76872,76873,Male,46,Returning,Business,Business,1794,2,0.0,5,2,5,4,5,4,4,4,3,3,4,5,4,4
56063,56064,Male,41,Returning,Personal,Economy,2586,17,0.0,5,2,1,1,2,3,1,5,1,2,2,2,1,4
35298,35299,Female,43,Returning,Business,Economy,1035,2,15.0,3,3,4,4,3,2,4,2,2,4,2,2,2,2
52125,52126,Female,30,Returning,Personal,Economy Plus,639,0,0.0,4,0,2,0,4,2,3,4,4,4,3,1,4,3
64949,64950,Male,20,First-time,Business,Economy,469,29,13.0,3,3,1,3,3,3,4,3,4,4,3,3,4,2
32739,32740,Female,52,Returning,Business,Economy,163,1,6.0,0,0,2,3,4,1,4,1,3,1,1,1,1,1
90402,90403,Female,41,Returning,Personal,Business,404,0,0.0,4,1,4,5,2,3,4,1,4,4,3,1,3,3
57917,57918,Male,60,Returning,Personal,Economy,305,0,0.0,5,2,4,2,3,4,3,3,3,3,5,2,3,5
95773,95774,Male,41,Returning,Personal,Economy,419,20,18.0,2,4,1,4,3,1,3,2,4,4,4,4,4,3
24898,24899,Female,35,Returning,Business,Business,1918,45,62.0,5,5,4,4,5,4,5,4,5,4,4,5,4,4
42307,42308,Female,67,Returning,Personal,Economy,315,0,0.0,5,4,2,5,2,2,4,4,1,4,2,4,2,2
34450,34451,Female,63,Returning,Personal,Economy,228,0,0.0,5,4,1,1,1,4,3,4,3,1,4,4,4,4
128311,128312,Male,42,Returning,Business,Business,2154,2,0.0,3,1,5,5,1,5,4,5,4,5,5,1,5,5
22264,22265,Male,33,Returning,Business,Business,83,0,0.0,5,0,1,3,1,5,3,4,3,3,3,0,3,5
73583,73584,Male,38,Returning,Business,Business,192,0,0.0,4,4,4,4,4,5,4,5,3,4,5,4,5,4
52668,52669,Male,24,Returning,Personal,Economy,160,13,10.0,4,2,5,2,2,3,2,2,1,1,5,2,1,5
68099,68100,Male,55,Returning,Business,Economy,413,0,0.0,4,4,5,4,4,2,4,5,4,4,3,4,4,2
17893,17894,Female,46,First-time,Business,Economy Plus,371,0,0.0,4,4,3,4,3,3,2,2,2,2,1,4,2,3
103119,103120,Female,62,Returning,Personal,Economy,546,0,0.0,4,2,4,2,1,2,1,2,3,2,2,2,2,2
24167,24168,Female,34,Returning,Business,Business,170,0,0.0,3,3,2,3,3,4,4,4,2,1,4,3,4,5
23962,23963,Male,52,Returning,Personal,Economy,639,62,57.0,4,2,5,2,2,3,4,3,4,4,4,2,4,5
93979,93980,Male,28,First-time,Business,Economy,1218,1,0.0,4,4,3,4,4,4,1,2,1,1,4,3,1,3
12697,12698,Female,59,Returning,Business,Economy,721,208,224.0,2,2,5,5,2,2,5,2,5,5,2,5,2,4
93887,93888,Female,49,Returning,Business,Business,1690,0,0.0,5,5,1,4,5,3,4,3,1,2,3,3,3,3
33296,33297,Male,13,Returning,Personal,Economy Plus,101,0,1.0,5,2,3,2,3,3,2,4,3,3,4,2,3,5
91329,91330,Male,31,Returning,Business,Economy Plus,404,17,3.0,4,4,4,4,4,1,4,2,4,4,2,4,4,2
100491,100492,Female,24,First-time,Business,Economy,580,5,3.0,1,2,4,2,3,1,4,5,4,4,3,3,4,2
123315,123316,Male,44,Returning,Business,Economy Plus,328,0,0.0,1,1,2,2,1,2,2,3,2,2,4,2,2,3
24856,24857,Male,55,Returning,Business,Business,3967,0,0.0,5,5,1,4,5,3,4,3,3,1,3,3,3,3
25247,25248,Female,47,Returning,Business,Economy Plus,787,0,0.0,2,3,4,3,2,5,2,5,4,5,5,5,5,5
120524,120525,Female,59,First-time,Business,Economy,96,0,8.0,1,3,1,3,3,2,4,4,4,4,4,3,4,4
17112,17113,Female,41,Returning,Personal,Economy,416,8,21.0,5,4,5,4,1,1,2,1,2,2,5,3,2,1
98408,98409,Male,28,Returning,Personal,Economy,675,0,0.0,1,4,1,4,4,4,5,4,5,5,3,4,5,4
106102,106103,Male,48,Returning,Business,Business,3485,12,8.0,1,1,1,3,1,2,3,2,4,4,2,2,2,2
18741,18742,Female,42,Returning,Business,Business,2113,11,0.0,2,2,4,5,2,5,2,5,5,1,5,2,5,5
51660,51661,Male,35,Returning,Business,Economy,370,0,0.0,3,3,3,3,3,2,4,1,4,4,3,4,4,3
94638,94639,Female,60,Returning,Business,Business,189,1,2.0,3,3,5,5,3,5,4,5,4,3,5,3,5,4
94419,94420,Male,53,Returning,Business,Business,239,0,0.0,4,4,4,4,4,5,5,5,4,3,5,4,5,5
15198,15199,Female,44,Returning,Personal,Economy,461,0,0.0,4,2,2,4,4,5,3,2,2,4,5,2,5,5
41617,41618,Female,8,Returning,Business,Economy Plus,1504,0,0.0,3,0,5,0,1,3,3,1,3,3,4,0,3,1
24515,24516,Male,22,First-time,Business,Economy,547,3,13.0,3,4,5,4,1,4,2,5,2,2,2,4,2,2
88533,88534,Female,26,Returning,Personal,Economy,250,0,0.0,4,0,5,0,1,5,5,4,5,5,5,2,5,5
65995,65996,Male,58,Returning,Business,Business,1345,0,0.0,3,3,4,5,3,5,5,5,5,2,5,3,5,5
88446,88447,Female,25,First-time,Business,Economy,271,0,0.0,2,3,2,3,3,4,5,3,5,5,4,2,5,3
129344,129345,Male,51,Returning,Personal,Economy,2475,12,12.0,1,1,4,1,3,2,5,1,5,5,3,1,5,3
34858,34859,Female,42,Returning,Business,Business,2248,157,189.0,1,1,5,5,1,5,5,5,5,5,5,1,5,4
126402,126403,Female,25,Returning,Business,Economy Plus,600,30,18.0,5,5,3,3,5,4,1,2,3,3,4,3,3,3
17130,17131,Female,36,First-time,Business,Economy,423,0,0.0,5,2,2,2,3,1,4,4,4,4,5,2,4,4
18694,18695,Female,35,Returning,Business,Economy Plus,127,0,0.0,1,4,3,5,4,2,5,3,5,5,1,5,5,5
41209,41210,Male,52,Returning,Business,Economy,1091,0,0.0,5,5,3,5,5,5,5,3,5,5,1,5,5,2
84691,84692,Female,52,Returning,Personal,Economy,2182,0,0.0,4,1,1,2,4,4,1,1,3,3,4,1,4,2
57453,57454,Male,65,Returning,Business,Business,1843,168,191.0,3,3,3,3,3,2,3,2,3,3,4,3,2,3
42983,42984,Male,33,First-time,Business,Economy,173,0,0.0,0,1,1,1,4,2,2,3,5,5,4,1,5,1
29725,29726,Female,47,Returning,Personal,Economy,2777,0,0.0,1,2,2,3,1,1,2,2,2,2,3,2,2,2
33137,33138,Female,19,Returning,Personal,Economy,101,0,0.0,5,1,3,1,3,1,1,2,1,1,4,1,1,4
14170,14171,Male,37,Returning,Business,Business,620,0,0.0,2,2,1,4,2,3,4,3,3,5,3,3,3,3
119167,119168,Male,46,Returning,Business,Business,2306,0,0.0,0,0,4,5,3,2,4,2,4,3,2,0,2,2
61656,61657,Female,26,First-time,Business,Business,1379,0,0.0,5,2,5,2,3,4,4,2,4,4,5,2,4,4
79362,79363,Female,25,First-time,Business,Business,1020,0,0.0,5,3,4,3,3,4,2,5,2,2,4,3,2,5
9223,9224,Female,47,Returning,Business,Business,157,0,0.0,2,2,5,5,2,4,5,4,3,5,4,2,4,4
65380,65381,Male,33,Returning,Personal,Economy,631,3,3.0,1,2,2,2,4,3,1,1,1,1,4,2,1,3
30487,30488,Male,24,Returning,Business,Economy,516,0,0.0,1,3,2,2,1,3,4,5,2,2,4,2,2,3
21743,21744,Female,22,Returning,Business,Economy,563,2,0.0,2,2,2,4,2,3,4,5,4,4,5,4,4,1
120725,120726,Female,37,Returning,Personal,Economy,90,28,29.0,3,3,4,3,3,3,1,4,1,1,3,3,1,3
93821,93822,Female,42,Returning,Business,Business,1536,0,6.0,5,5,5,5,5,4,4,4,3,3,4,5,4,4
125038,125039,Male,24,Returning,Business,Business,2300,0,0.0,1,1,1,2,1,3,2,1,2,2,3,2,2,3
67539,67540,Male,60,Returning,Business,Business,1703,0,0.0,5,5,2,4,5,4,3,4,4,5,4,4,4,4
14912,14913,Male,39,Returning,Personal,Economy,240,0,34.0,5,2,2,2,2,1,1,4,1,1,4,2,1,1
17873,17874,Male,34,First-time,Business,Economy,371,56,40.0,0,2,2,2,2,5,2,2,3,3,3,2,3,1
59136,59137,Female,49,Returning,Personal,Economy,1723,0,0.0,5,3,5,5,3,1,5,3,4,5,1,3,1,1
32155,32156,Male,39,Returning,Business,Economy,102,0,2.0,3,3,4,5,3,2,5,2,5,5,1,5,5,1
115092,115093,Female,43,Returning,Business,Business,337,0,8.0,2,2,4,4,2,4,5,4,3,3,4,2,4,4
63135,63136,Male,57,Returning,Business,Business,337,42,44.0,2,2,4,2,2,4,3,4,3,5,4,4,4,4
40102,40103,Male,44,Returning,Business,Economy,368,0,0.0,3,4,1,4,4,5,5,5,5,5,2,4,5,2
127674,127675,Female,56,Returning,Personal,Economy,2153,16,1.0,4,3,3,3,3,3,5,3,4,4,3,3,3,4
49502,49503,Male,47,Returning,Business,Business,421,50,64.0,1,1,5,1,1,4,1,4,3,5,4,1,4,4
123103,123104,Male,57,Returning,Business,Business,3923,2,0.0,3,3,3,4,3,4,5,4,3,5,4,3,4,4
22145,22146,Female,14,First-time,Business,Business,633,0,0.0,4,4,4,4,2,5,2,3,2,2,4,4,2,5
26953,26954,Female,44,Returning,Business,Business,867,0,0.0,4,4,3,5,4,4,4,4,5,5,4,4,4,4
10912,10913,Female,44,Returning,Business,Business,1768,0,0.0,2,2,2,4,2,2,4,2,1,4,2,4,2,4
59039,59040,Female,29,First-time,Business,Economy,941,39,24.0,1,1,1,1,4,2,3,1,3,3,4,1,3,2
98749,98750,Female,62,Returning,Personal,Economy,1290,20,21.0,5,2,3,3,3,2,5,2,3,5,2,2,2,2
50712,50713,Male,11,Returning,Personal,Economy,109,0,0.0,4,1,3,1,1,3,1,5,2,2,4,1,2,4
29567,29568,Female,42,Returning,Business,Economy,680,0,0.0,2,2,1,4,2,4,3,4,2,4,4,4,4,4
101008,101009,Male,36,Returning,Business,Economy,564,6,13.0,1,1,3,3,1,3,3,5,3,3,2,3,3,2
9781,9782,Female,35,Returning,Personal,Economy,383,0,0.0,5,1,3,1,2,3,2,2,4,4,4,1,4,5
39971,39972,Female,37,Returning,Business,Economy,1262,0,0.0,2,2,3,2,2,1,2,2,2,2,2,2,2,5
61259,61260,Male,60,Returning,Personal,Economy,967,10,10.0,5,4,5,4,2,4,4,3,4,4,5,4,4,5
8246,8247,Female,17,Returning,Personal,Economy,402,16,21.0,3,2,2,2,4,4,5,2,5,5,3,2,5,3
16985,16986,Female,11,Returning,Business,Economy,610,82,65.0,1,1,2,5,1,5,5,4,5,5,5,5,5,1
75939,75940,Male,46,Returning,Business,Business,1572,0,0.0,1,1,5,5,1,4,4,4,3,4,4,1,4,4
66544,66545,Female,44,Returning,Business,Business,2935,32,27.0,3,3,4,5,3,4,5,4,4,4,4,3,4,4
28498,28499,Female,61,Returning,Personal,Business,2715,0,0.0,4,3,4,4,4,4,5,3,5,3,4,3,4,4
27411,27412,Female,42,Returning,Business,Economy,605,0,0.0,4,4,4,2,4,4,2,4,5,1,4,4,4,4
42495,42496,Female,42,Returning,Business,Economy,495,2,22.0,4,4,2,4,4,4,3,4,5,5,4,4,4,4
110743,110744,Male,44,Returning,Business,Business,1166,19,4.0,2,2,5,4,2,5,4,5,5,3,5,2,5,5
9630,9631,Male,44,Returning,Business,Business,2638,0,0.0,0,0,3,5,4,4,5,4,3,5,4,0,4,4
128614,128615,Male,48,Returning,Business,Business,1664,2,0.0,2,2,3,5,2,4,4,4,5,2,4,2,4,4
66980,66981,Male,39,Returning,Business,Business,1713,7,0.0,2,2,4,4,2,4,5,4,5,5,4,2,4,4
65575,65576,Female,54,Returning,Business,Business,2094,0,10.0,2,2,5,4,2,5,5,5,4,2,5,2,5,5
114008,114009,Male,18,Returning,Personal,Economy,1855,0,0.0,5,5,5,5,5,3,1,3,4,4,5,4,4,2
36448,36449,Male,16,Returning,Business,Economy Plus,1368,0,0.0,4,0,4,0,4,5,4,1,2,2,2,0,2,4
108458,108459,Male,13,Returning,Personal,Economy,1444,188,198.0,0,2,1,1,1,5,1,5,1,2,5,2,4,5
103959,103960,Female,37,Returning,Personal,Economy,533,21,5.0,5,1,3,1,2,5,1,5,1,1,5,1,1,5
96957,96958,Female,57,Returning,Business,Business,3132,0,0.0,2,2,4,5,2,4,5,4,5,2,4,2,4,4
93499,93500,Male,7,Returning,Personal,Economy,1107,1,0.0,1,2,1,2,3,1,2,1,2,2,4,2,2,4
82489,82490,Female,37,First-time,Business,Business,488,7,2.0,1,1,4,1,1,3,5,2,5,5,5,2,5,5
13730,13731,Female,66,First-time,Business,Economy,401,0,0.0,0,2,5,2,4,2,4,1,4,4,2,2,4,2
36691,36692,Female,34,Returning,Personal,Economy,1237,0,7.0,4,3,3,3,2,5,5,3,5,5,4,3,5,5
129638,129639,Male,48,Returning,Business,Business,337,0,0.0,1,2,5,5,1,5,4,5,3,5,5,1,5,5
26504,26505,Female,48,Returning,Business,Economy,829,74,68.0,2,2,1,4,2,2,3,2,4,4,2,2,2,2
78750,78751,Male,48,Returning,Business,Business,447,0,0.0,3,3,4,4,3,5,4,5,5,4,5,3,5,5
59681,59682,Male,32,Returning,Personal,Economy,965,0,0.0,5,2,3,2,2,4,1,5,2,2,4,3,2,4
92989,92990,Female,62,Returning,Business,Business,2487,0,0.0,3,3,1,2,3,4,4,4,1,4,4,3,4,4
58902,58903,Male,48,Returning,Business,Business,1739,5,5.0,3,3,4,4,3,4,1,4,5,4,4,3,4,4
27496,27497,Male,50,Returning,Business,Business,2592,12,16.0,5,5,2,4,5,1,4,1,3,2,1,1,1,1
9675,9676,Male,58,Returning,Business,Economy,284,235,230.0,1,1,1,1,1,2,1,4,1,1,1,1,4,4
3428,3429,Male,41,Returning,Personal,Economy,296,0,0.0,5,2,4,2,3,4,1,4,1,1,5,2,1,4
99007,99008,Female,27,First-time,Business,Economy Plus,479,11,6.0,2,2,4,2,4,3,3,5,3,3,3,2,3,3
7240,7241,Male,37,Returning,Business,Business,3480,34,33.0,2,2,1,3,2,2,4,2,1,1,2,3,2,3
43648,43649,Male,20,First-time,Business,Economy,695,0,0.0,2,2,1,2,1,5,3,2,3,3,3,2,3,2
68180,68181,Male,22,Returning,Personal,Economy,597,0,0.0,3,1,2,1,3,4,4,1,4,4,4,1,4,4
92889,92890,Female,43,Returning,Business,Business,3486,0,11.0,1,1,4,4,1,5,5,4,3,2,5,1,5,4
48311,48312,Female,65,Returning,Personal,Economy,1499,93,87.0,4,3,4,3,2,2,4,3,5,3,2,3,2,1
101853,101854,Female,32,First-time,Business,Economy,519,1,0.0,2,1,3,1,3,4,3,2,2,2,3,1,2,4
97310,97311,Male,32,First-time,Business,Business,872,7,10.0,4,4,5,4,1,4,5,4,4,4,4,4,4,5
87002,87003,Female,66,Returning,Personal,Economy,907,5,0.0,4,0,5,5,3,5,4,0,4,5,5,0,5,5
22718,22719,Male,19,Returning,Business,Business,170,0,3.0,4,0,3,3,5,5,3,4,3,3,4,0,3,5
9229,9230,Male,51,Returning,Business,Business,3848,0,26.0,2,2,1,2,2,3,2,3,4,1,3,1,3,1
97101,97102,Female,43,First-time,Business,Business,1642,10,21.0,2,2,5,2,1,5,4,3,4,4,4,2,4,5
1809,1810,Female,22,First-time,Business,Economy,500,14,0.0,2,3,4,3,4,1,3,5,3,3,3,3,3,3
84262,84263,Male,57,Returning,Business,Business,334,0,3.0,1,1,4,5,1,4,4,4,5,5,4,1,4,4
51108,51109,Male,9,Returning,Personal,Economy,89,0,0.0,5,2,4,2,3,3,4,5,4,4,4,2,4,4
112468,112469,Male,76,Returning,Business,Economy,557,18,26.0,3,3,4,2,3,2,2,5,2,2,4,2,2,3
66288,66289,Female,9,Returning,Personal,Business,852,0,4.0,4,3,4,3,2,4,5,5,5,5,4,2,5,4
54848,54849,Male,36,First-time,Business,Economy,862,11,9.0,4,4,3,4,3,4,3,1,4,4,3,4,4,4
60610,60611,Male,20,Returning,Personal,Economy,991,0,0.0,5,4,4,4,2,3,5,4,5,5,5,3,5,4
97751,97752,Male,44,Returning,Business,Business,3879,6,0.0,4,4,5,5,4,4,4,5,5,3,4,4,4,4
75353,75354,Female,58,Returning,Business,Business,2504,0,0.0,4,4,3,4,4,4,4,4,4,2,4,4,4,4
24752,24753,Male,51,Returning,Business,Business,2148,6,28.0,5,5,1,5,5,2,2,2,2,3,2,5,2,2
71214,71215,Male,50,Returning,Business,Business,733,4,0.0,5,5,5,5,5,4,4,4,3,5,4,5,4,4
128256,128257,Female,32,Returning,Business,Business,325,0,0.0,2,2,4,5,2,5,5,5,5,5,5,2,5,5
65749,65750,Male,50,Returning,Personal,Economy,1061,5,0.0,5,3,4,3,3,4,4,2,4,4,5,2,4,5
44602,44603,Male,30,Returning,Business,Business,566,0,0.0,2,4,1,1,2,4,1,3,1,1,3,1,1,4
51900,51901,Male,43,First-time,Business,Economy,601,0,0.0,3,2,1,2,1,5,3,4,3,3,1,2,3,2
2675,2676,Male,25,Returning,Personal,Economy,597,0,0.0,4,2,2,2,3,4,4,5,4,4,4,2,4,3
10967,10968,Female,57,Returning,Business,Economy,163,0,0.0,1,1,3,3,1,3,4,3,4,5,3,3,3,3
108953,108954,Female,60,Returning,Business,Business,655,15,0.0,1,1,3,4,1,5,4,5,5,5,5,1,5,5
121119,121120,Female,29,First-time,Business,Business,2402,0,0.0,4,4,3,4,1,3,2,3,1,1,5,4,1,5
20434,20435,Female,17,Returning,Personal,Economy Plus,299,0,0.0,5,3,4,3,2,3,2,5,2,2,4,3,2,4
105310,105311,Male,58,Returning,Business,Business,2372,0,0.0,1,1,3,5,1,5,5,5,5,4,5,1,5,5
66556,66557,Female,17,Returning,Personal,Economy,328,0,0.0,2,1,3,1,4,1,4,5,4,4,3,3,4,3
30237,30238,Male,60,Returning,Business,Economy,496,0,0.0,3,2,2,5,3,2,5,2,5,5,2,5,5,5
39896,39897,Female,30,First-time,Business,Economy Plus,132,23,29.0,2,2,2,2,4,1,2,1,1,1,3,2,1,3
17408,17409,Male,24,Returning,Business,Business,2581,0,0.0,1,1,1,4,1,1,4,3,4,4,1,1,4,5
23540,23541,Male,45,Returning,Personal,Economy,472,14,11.0,1,3,3,3,2,4,4,3,2,2,1,3,2,2
101301,101302,Male,33,Returning,Personal,Economy,763,16,13.0,3,1,2,1,2,2,5,5,5,5,2,1,5,3
52906,52907,Male,25,First-time,Business,Economy,679,29,6.0,4,4,5,4,4,4,2,2,2,2,3,3,2,4
123283,123284,Male,29,Returning,Personal,Economy,600,48,41.0,5,2,4,2,4,3,5,2,5,5,4,2,5,5
90652,90653,Male,51,Returning,Business,Business,404,0,0.0,5,5,3,5,5,4,5,5,3,2,4,5,4,4
79480,79481,Male,44,Returning,Business,Business,2337,0,3.0,5,5,4,4,5,5,4,5,5,5,5,5,5,5
75162,75163,Male,49,Returning,Business,Business,1846,24,10.0,5,5,4,4,5,3,4,4,3,2,3,5,3,3
13963,13964,Male,34,Returning,Personal,Economy,153,0,0.0,5,3,5,3,1,3,3,5,3,3,4,3,3,4
27983,27984,Female,20,Returning,Personal,Economy,2350,0,0.0,4,2,2,2,4,1,5,3,5,5,4,2,5,4
98353,98354,Male,12,Returning,Business,Economy,1189,0,0.0,1,1,1,4,1,4,3,4,4,4,3,4,4,4
117749,117750,Female,29,Returning,Personal,Economy,935,34,23.0,4,1,4,1,2,5,4,3,1,1,4,1,1,4
127532,127533,Female,25,Returning,Business,Business,1009,0,0.0,2,2,5,5,2,3,5,2,5,5,5,2,5,5
124553,124554,Female,15,Returning,Personal,Economy Plus,1276,0,7.0,4,3,5,3,2,3,2,5,2,2,4,3,2,3
2215,2216,Male,49,Returning,Business,Business,859,0,0.0,5,3,4,4,5,5,5,5,4,3,5,5,5,5
53722,53723,Female,62,Returning,Personal,Economy,1208,16,0.0,2,3,3,3,4,4,4,3,4,3,4,3,4,3
22193,22194,Male,31,Returning,Business,Business,2607,76,60.0,4,4,5,4,4,3,4,4,4,4,1,4,4,1
90217,90218,Female,15,Returning,Personal,Economy,1086,3,4.0,4,1,5,1,4,3,1,2,1,1,5,1,1,5
117404,117405,Female,31,Returning,Business,Business,1136,0,0.0,4,4,5,4,4,4,4,5,4,4,5,4,4,4
1408,1409,Female,53,Returning,Personal,Economy Plus,229,27,19.0,4,2,4,5,2,3,5,2,5,2,3,2,3,3
109769,109770,Female,17,Returning,Business,Business,3607,21,15.0,4,4,5,4,4,3,4,2,4,4,5,4,4,4
25468,25469,Male,45,Returning,Business,Business,547,0,0.0,1,1,3,4,1,5,5,4,5,3,5,1,5,5
95786,95787,Male,45,Returning,Personal,Economy,237,0,0.0,4,1,3,1,3,5,4,3,4,4,5,1,4,4
100469,100470,Female,42,Returning,Business,Business,2603,84,80.0,4,4,3,4,4,5,5,5,4,4,5,4,5,5
56790,56791,Female,39,First-time,Business,Business,1605,0,0.0,3,3,1,3,3,2,3,5,3,3,3,3,3,3
8183,8184,Female,20,First-time,Business,Economy,335,0,0.0,2,3,2,3,3,3,5,4,5,5,4,2,5,3
78799,78800,Female,18,Returning,Personal,Economy,432,7,0.0,4,3,4,3,3,3,5,5,5,5,4,3,5,5
115049,115050,Female,57,Returning,Business,Business,1604,12,10.0,0,0,5,5,5,5,5,5,3,4,5,0,5,5
75502,75503,Male,38,Returning,Personal,Economy Plus,2342,0,0.0,3,5,2,5,3,1,2,5,1,1,2,5,1,3
22596,22597,Male,41,Returning,Business,Business,2768,0,0.0,5,5,5,3,5,5,4,5,2,4,5,5,5,5
58327,58328,Female,25,Returning,Personal,Economy,1739,2,47.0,5,2,3,2,2,5,4,5,4,4,5,2,4,5
99297,99298,Male,60,Returning,Business,Business,3852,0,0.0,5,5,1,4,5,4,3,3,2,5,4,4,4,4
90665,90666,Male,58,Returning,Business,Business,545,82,72.0,1,1,3,4,1,5,5,5,3,5,5,1,5,5
74128,74129,Male,59,Returning,Business,Economy,641,15,11.0,3,3,1,2,3,1,2,2,2,2,3,2,2,4
102228,102229,Male,71,Returning,Business,Business,414,12,23.0,3,3,3,2,3,2,3,2,3,3,2,2,2,2
79501,79502,Female,48,Returning,Business,Business,712,1,10.0,2,2,5,4,2,4,5,4,5,4,4,2,4,4
9828,9829,Male,22,First-time,Business,Economy,476,0,0.0,4,3,5,3,4,4,1,2,1,1,5,3,1,5
34224,34225,Male,24,Returning,Personal,Economy,1179,0,0.0,5,2,4,2,1,5,5,2,5,5,5,2,5,4
89317,89318,Male,35,First-time,Business,Business,1587,0,0.0,3,3,3,3,4,5,5,5,5,5,4,3,5,4
100705,100706,Female,22,First-time,Business,Economy,677,4,0.0,4,4,4,4,5,3,4,2,4,4,5,4,4,4
110100,110101,Male,57,Returning,Business,Business,1072,14,4.0,4,4,5,5,4,5,4,5,3,5,5,4,5,5
13416,13417,Male,30,First-time,Business,Economy,409,19,17.0,4,3,5,3,1,4,5,3,5,5,2,3,5,3
90549,90550,Female,39,Returning,Business,Business,2055,0,0.0,3,3,5,5,3,4,4,4,3,4,4,3,4,4
58453,58454,Male,26,Returning,Personal,Economy,723,0,0.0,3,4,1,4,3,2,4,3,4,4,4,3,4,3
16024,16025,Male,31,Returning,Personal,Economy,853,0,0.0,4,2,3,2,4,5,2,5,2,2,4,2,2,4
33332,33333,Female,25,First-time,Business,Economy,1358,3,15.0,2,2,5,2,3,1,1,2,1,1,2,2,1,3
91873,91874,Female,46,First-time,Business,Business,1185,7,0.0,5,5,4,4,4,5,5,2,5,5,4,4,5,4
87761,87762,Female,51,Returning,Business,Business,214,0,0.0,2,4,4,4,2,5,4,5,4,2,5,2,5,5
30556,30557,Male,52,Returning,Business,Business,2014,56,55.0,1,1,1,4,1,3,3,3,3,5,3,3,3,3
97341,97342,Male,37,Returning,Business,Business,347,0,0.0,2,2,1,4,2,2,4,2,1,1,2,2,2,2
103510,103511,Female,24,Returning,Business,Business,1047,22,20.0,5,2,3,1,5,3,1,1,1,1,4,1,1,3
78028,78029,Female,20,Returning,Business,Economy,332,138,135.0,2,2,1,4,2,3,1,3,1,2,3,1,4,3
33816,33817,Male,58,Returning,Personal,Economy,1428,54,37.0,2,2,1,2,4,4,1,4,1,1,4,2,1,4
63588,63589,Male,42,Returning,Business,Business,2133,9,0.0,2,2,5,4,2,2,4,2,4,2,2,2,2,2
98698,98699,Female,68,Returning,Personal,Economy,994,0,0.0,1,2,1,3,2,3,3,2,3,2,3,2,3,3
111158,111159,Male,14,Returning,Personal,Economy,1050,11,0.0,4,4,3,4,1,4,3,3,3,3,1,4,3,1
124968,124969,Female,45,Returning,Business,Business,3312,28,34.0,3,3,4,5,3,5,4,5,5,4,5,3,5,5
31282,31283,Male,35,Returning,Personal,Economy,770,8,0.0,4,2,3,2,3,5,4,5,4,4,4,2,4,5
124250,124251,Female,49,Returning,Personal,Economy,1916,0,0.0,5,1,3,4,5,1,5,1,3,3,1,1,1,1
121234,121235,Male,36,First-time,Business,Business,2075,30,29.0,1,1,4,1,5,5,4,2,4,4,5,1,4,5
8572,8573,Male,43,First-time,Business,Economy,109,0,0.0,1,2,1,2,2,1,3,4,3,3,2,2,3,2
92136,92137,Female,55,Returning,Personal,Economy,1535,0,0.0,5,1,4,4,1,3,5,1,5,2,3,1,3,3
82758,82759,Male,73,Returning,Business,Economy,409,192,182.0,1,1,3,3,1,1,3,4,3,3,2,3,2,3
3932,3933,Female,22,Returning,Business,Business,3770,0,0.0,3,1,4,5,1,4,5,4,5,5,5,1,5,4
29019,29020,Male,24,First-time,Business,Economy,650,0,0.0,2,3,1,3,4,2,5,3,5,5,3,3,5,4
